,Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2020,2021,CD_code
27,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,130.3,131.3,197.5,129.5,244.2,101
28,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","The rate of mortgage foreclosure actions initiated per 1,000 1-4 family properties and condominium units.",5.2,5.2,11.9,3.2,1.9,3.5,101
29,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Notices of foreclosure, all residential properties",The total number of residential properties that had mortgage foreclosure actions initiated against them.,56,70,211,69,39,85,101
30,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Notices of foreclosure, initial, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had a new filing of mortgage foreclosure actions initiated against them after at least six years without having any such filings.,27,37,143,23,9,31,101
31,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Notices of foreclosure, repeat, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had repeat filing of mortgage foreclosure actions initiated against them after already have such a filing in the previous six years.,7,14,25,30,23,29,101
32,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","The number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units.",,,,17.2,12.2,12.7,101
33,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Pre-foreclosure notices, 1-4 family and condo properties",The total number of pre-foreclosure notices issued to homeowners of 1-4 family homes and condominium units. These notices are sent 90 days prior to starting a foreclosure action.,,,,281,206,218,101
34,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Properties entering REO, 1-4 family",The total number of 1-4 family buildings that completed the foreclosure process and were acquired by the foreclosing lender.,5,0,0,,,,101
35,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,FHA/VA-backed home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied home, condominium, or cooperative apartment that were insured or guaranteed by the FHA or VA, as reported by HMDA.",,0.0%,17.3%,0.4%,0.0%,,101
36,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Higher-cost home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,3.8%,0.4%,0.8%,0.5%,,101
37,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Higher-cost refinance loans (% of refinance loans),"The percentage of loan originations, for the refinancing of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,23.2%,1.7%,1.3%,0.2%,,101
38,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Home purchase loan rate (per 1,000 properties)","The number of first-lien home purchase loan originations for owner-occupied 1-4 family buildings, condominiums, or cooperative apartments  divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments.",,40.1,40.4,26.9,22.8,,101
39,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Home purchase loans in LMI tracts (% of home purchase loans),"The share of all first-lien loans, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartments, that were originated for homes in low- to moderate-income census tracts.",,59.5%,4.8%,19.5%,18.6%,,101
40,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Home purchase loans to LMI borrowers (% of home purchase loans),"The share of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartment, that were made to low- to moderate-income borrowers.",,2.4%,48.3%,1.4%,2.3%,,101
41,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Refinance loan rate (per 1,000 properties)","The number of refinance loans for owner-occupied 1-4 family buildings, condominiums, and cooperative apartments divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments in the given geographic.",,23.1,10.3,15.9,34.0,,101
42,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Sales volume, 1 family building",The number of transactions of 1 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,12,16,12,10,10,15,101
43,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Sales volume, 2-4 family building",The number of transactions of 2-4 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,131,163,74,68,55,98,101
44,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Sales volume, 5+ family building",The number of transactions of 5+ family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,63,80,53,46,36,93,101
45,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Sales volume, condominium",The number of transactions of condominiums that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,72,737,761,606,474,855,101
46,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Sales volume, all property types",The number of transactions of all residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,278,996,900,730,575,"1,061",101
47,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Median sales price per unit, 1 family building (2021$)",The median price per unit for one unit buildings.,,"$787,380","$821,580","$1,655,060","$1,924,270","$1,760,000",101
48,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Median sales price per unit, 2-4 family building (2021$)",The median price per unit for two- to four-unit buildings.,,"$380,780","$342,830","$822,010","$774,870","$690,000",101
49,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Median sales price per unit, 5+ family building (2021$)",The median price per unit for multifamily buildings.,,"$165,550","$151,700","$421,040","$411,110","$350,000",101
50,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Median sales price per unit, condominium (2021$)",The median price per unit for condominiums.,,"$668,840","$615,280","$1,119,130","$1,002,170","$1,110,000",101
51,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Index of housing price appreciation, 1 family building",The average price changes in repeated sales of the same 1 family properties (index=100 in 2000).,100.0,243.6,260.1,585.5,680.5,817.3,101
52,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Index of housing price appreciation, 2-4 family building",The average price changes in repeated sales of the same 2-4 family properties (index=100 in 2000).,100.0,272.2,232.0,741.8,794.2,686.1,101
53,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Index of housing price appreciation, 5+ family building",The average price changes in repeated sales of the same 5+ family properties (index=100 in 2000).,100.0,284.8,309.8,827.8,786.2,808.2,101
54,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Index of housing price appreciation, condominium",The average price changes in repeated sales of the same condominiums (index=100 in 2000).,100.0,159.8,139.6,271.4,279.0,280.0,101
55,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Index of housing price appreciation, all property types",The average price changes in repeated sales of the same properties of any type (index=100 in 2000).,100.0,264.6,238.7,488.5,498.1,508.8,101
56,BK 01,Greenpoint/Williamsburg,Land Use and Development,"Population density (1,000 persons per square mile)",The geographic area's population divided by its land area and is reported in thousands of people per square mile.,,34.3,35.5,36.7,,,101
57,BK 01,Greenpoint/Williamsburg,Land Use and Development,Units authorized by new residential building permits,The number of units authorized by new residential building permits is derived from the building permit and jobs reports of the DOB.,757,0,227,"1,838",337,,101
58,BK 01,Greenpoint/Williamsburg,Land Use and Development,Units issued new certificates of occupancy,The number of residential units in buildings issued new certificates of occupancy issued by the DOB each year.,114,942,"2,496","1,985","1,374",,101
59,BK 01,Greenpoint/Williamsburg,Neighborhood Services and Conditions,Car-free commute (% of commuters),"The percentage of workers who commute primarily by foot, bicycle, or public transportation, as a share of all workers over the age of 16 who do not work at home.",76.6%,79.3%,85.2%,85.8%,,,101
60,BK 01,Greenpoint/Williamsburg,Neighborhood Services and Conditions,Mean travel time to work (minutes),The mean commute time in minutes for commuters residing in the geographic area.,35.3,33.4,31.5,34.5,,,101
61,BK 01,Greenpoint/Williamsburg,Neighborhood Services and Conditions,"Serious crime rate (per 1,000 residents)","The number of serious crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,17.2,15.3,11.7,13.8,12.5,101
62,BK 01,Greenpoint/Williamsburg,Neighborhood Services and Conditions,"Serious crime rate, property (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,12.3,10.7,8.5,10.6,9.5,101
63,BK 01,Greenpoint/Williamsburg,Neighborhood Services and Conditions,"Serious crime rate, violent (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,4.9,4.6,3.2,3.2,3.0,101
64,BK 01,Greenpoint/Williamsburg,Neighborhood Services and Conditions,"Students performing at grade level in English language arts, 4th grade",The percentage of fourth-grade students performing at or above grade level in English language arts in 4th grade (termed 'proficient').,,,,54.6%,,,101
65,BK 01,Greenpoint/Williamsburg,Neighborhood Services and Conditions,"Students performing at grade level in math, 4th grade",The percentage of fourth-grade students performing at or above grade level in math in 4th grade (termed 'proficient').,,,,57.8%,,,101
66,BK 01,Greenpoint/Williamsburg,Renters,"Median rent, 2- and 3-bedrooms (2021$)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,270","$1,750",,,101
67,BK 01,Greenpoint/Williamsburg,Renters,"Median rent, all (2021$)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",$960,"$1,090","$1,290","$2,120",,,101
68,BK 01,Greenpoint/Williamsburg,Renters,"Median rent, recent movers (2021$)","The median recent mover household's gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,890","$2,820",,,101
69,BK 01,Greenpoint/Williamsburg,Renters,"Median rent, studios and 1-bedrooms (2021$)","The median gross rent among studios and 1-bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,290","$2,100",,,101
70,BK 01,Greenpoint/Williamsburg,Renters,Change in collected rent (2019-2020),The change in rent collection for buildings with rent regulated units (2019-2020).,,,,,-4.3%,,101
71,BK 01,Greenpoint/Williamsburg,Renters,Rental units affordable at  30% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 30 of the Area Median Income.",,,7.6%,5.1%,,,101
72,BK 01,Greenpoint/Williamsburg,Renters,Rental units affordable at  80% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 80 of the Area Median Income.",,,36.9%,19.6%,,,101
73,BK 01,Greenpoint/Williamsburg,Renters,Rental units affordable at 120% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 120% of the Area Median Income.",,,74.3%,52.6%,,,101
74,BK 01,Greenpoint/Williamsburg,Renters,Moderately rent-burdened households,The share of renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,24.8%,21.9%,17.5%,,,101
75,BK 01,Greenpoint/Williamsburg,Renters,"Moderately rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,27.3%,25.5%,,,101
76,BK 01,Greenpoint/Williamsburg,Renters,"Moderately rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,32.7%,36.7%,,,101
77,BK 01,Greenpoint/Williamsburg,Renters,Severely rent-burdened households,The share of renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,23.7%,,27.6%,24.3%,,,101
78,BK 01,Greenpoint/Williamsburg,Renters,"Severely rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,44.6%,46.3%,,,101
79,BK 01,Greenpoint/Williamsburg,Renters,"Severely rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,4.2%,8.1%,,,101
80,BK 01,Greenpoint/Williamsburg,Renters,"Housing choice vouchers (% of occupied, privately owned rental units)",The share of all rental households in privately owned units whose occupants use a housing choice voucher from HUD.,,,8.6%,8.7%,9.6%,,101
81,BK 01,Greenpoint/Williamsburg,Renters,Public housing (% of rental units),The share of all rental units located in New York City Housing Authority public housing.,,,,,,5.3%,101
82,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Total number of subsidized properties (properties),"Total number of subsidized properties (includes federal programs, Mitchell-Lama, NYC Housing Production Programs and Zoning Incentives or Requirements, and New York State Property Tax Incentives, except 421-a and J-51)",,,,,,405,101
83,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,HUD Financing or Insurance (properties),Total number of properties receiving a benefit from a HUD Financing or Insurance Program,,,,,,24,101
84,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,HUD Financing or Insurance (units),Total number of units in properties receiving a benefit from a HUD Financing or Insurance Program (all affordable),,,,,,"1,697",101
85,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,HUD Project-based Rental Assistance Program (properties),Total number of properties receiving a benefit from a HUD Project-based Rental Assistance Program,,,,,,31,101
86,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,HUD Project-based Rental Assistance Program (units),Total number of units in properties receiving a benefit from a HUD Project-based Rental Assistance Program (includes both affordable and market rate units),,,,,,"1,682",101
87,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Low Income Housing Tax Credit (properties),Total number of properties receiving a benefit from the Low Income Housing Tax Credit,,,,,,44,101
88,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Low Income Housing Tax Credit (units),Total number of units in properties receiving a benefit from the Low Income Housing Tax Credit (includes both affordable and market rate units),,,,,,"3,967",101
89,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Public Housing (properties),Total number of public housing properties (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,23,101
90,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Public Housing (units),Total number of public housing units (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,"3,790",101
91,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Mitchell-Lama (properties),Total number of properties receiving a benefit from the Mitchell-Lama program,,,,,,11,101
92,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Mitchell-Lama (units),Total number of units in properties receiving a benefit from the Mitchell-Lama program (all affordable),,,,,,"4,021",101
93,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,421-a Tax Exemption (properties),Total number of properties using a 421-a tax emption (includes properties with only market rate units),,,,,,430,101
94,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,421-a Tax Exemption (units),Total number of units in properties using a 421-a tax emption (includes both affordable and market rate units),,,,,,"12,868",101
95,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,420-c Tax Exemption (properties),Total number of properties using a 420-c tax emption,,,,,,67,101
96,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,420-c Tax Exemption (units),Total number of units in properties using a 420-c tax emption (all affordable),,,,,,"1,846",101
97,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,NYC Housing Production Programs and Zoning Incentives or Requirements (properties),"Total number of properties that entered a New York City housing production program or zoning incentive or requirement between July 1,  2003 and December 31, 2017",,,,,,186,101
98,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Eligible to expire from housing programs between 2022 and 2027 (properties),"Total number of properties eligible to expire between 2021 and 2025 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,17,101
99,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Eligible to expire from housing programs between 2022 and 2027 (units),"Total number of units in properties eligible to expire between 2021 and 2025 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,538,101
100,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Eligible to expire from housing programs between 2028 and 2037 (properties),"Total number of properties eligible to expire between 2026 and 2035 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,14,101
101,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Eligible to expire from housing programs between 2028 and 2037 (units),"Total number of units in properties eligible to expire between 2026 and 2035 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,"1,149",101
102,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Eligible to expire from housing programs in 2038 and later (properties),"Total number of properties eligible to expire in 2036 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,53,101
103,BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Eligible to expire from housing programs in 2038 and later (units),"Total number of units in properties eligible to expire in 2036 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,"6,611",101
0,BK 02,Fort Greene/Brooklyn Heights,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,48.7%,50.2%,45.6%,,,102
1,BK 02,Fort Greene/Brooklyn Heights,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,6.9%,6.0%,,,102
2,BK 02,Fort Greene/Brooklyn Heights,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,16.9%,18.0%,19.6%,19.6%,,,102
3,BK 02,Fort Greene/Brooklyn Heights,Demographics,Population,"All people, both children and adults, living in a given geographic area.","115,106","111,796","125,468","133,346",,,102
4,BK 02,Fort Greene/Brooklyn Heights,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,9.8%,10.0%,9.2%,11.8%,,,102
5,BK 02,Fort Greene/Brooklyn Heights,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,24.7%,22.8%,23.3%,22.7%,,,102
6,BK 02,Fort Greene/Brooklyn Heights,Demographics,Single-person households,The share of households that include only one person.,,42.6%,37.6%,34.9%,,,102
7,BK 02,Fort Greene/Brooklyn Heights,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,4.2%,7.1%,6.6%,11.3%,,,102
8,BK 02,Fort Greene/Brooklyn Heights,Demographics,Percent Black,The percentage of the total population that identifies as black (non-Hispanic).,41.8%,28.5%,30.0%,20.3%,,,102
9,BK 02,Fort Greene/Brooklyn Heights,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,19.3%,21.4%,16.7%,12.3%,,,102
10,BK 02,Fort Greene/Brooklyn Heights,Demographics,Percent white,The percentage of the total population that identifies as white (non-Hispanic).,31.1%,39.4%,42.7%,52.1%,,,102
11,BK 02,Fort Greene/Brooklyn Heights,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.69,0.71,0.70,0.66,,,102
12,BK 02,Fort Greene/Brooklyn Heights,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,5.4,7.3,7.2,,,102
13,BK 02,Fort Greene/Brooklyn Heights,Demographics,Median household income (2021$),The median household's total income of all members of the household aged 15 years or older.,"$67,870","$72,780","$87,120","$117,220",,,102
14,BK 02,Fort Greene/Brooklyn Heights,Demographics,"Median household income, homeowners (2021$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$113,030","$142,650","$152,860",,,102
15,BK 02,Fort Greene/Brooklyn Heights,Demographics,"Median household income, renters (2021$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$54,370","$68,460","$98,340",,,102
16,BK 02,Fort Greene/Brooklyn Heights,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,24.5%,20.4%,18.1%,13.8%,,,102
17,BK 02,Fort Greene/Brooklyn Heights,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,15.4%,16.5%,28.8%,,,102
18,BK 02,Fort Greene/Brooklyn Heights,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,26.2%,22.8%,15.6%,,,102
19,BK 02,Fort Greene/Brooklyn Heights,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,65.1%,69.9%,73.5%,,,102
20,BK 02,Fort Greene/Brooklyn Heights,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,13.4%,12.7%,9.3%,,,102
21,BK 02,Fort Greene/Brooklyn Heights,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",10.65%,6.79%,10.38%,6.31%,,,102
22,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,26.3%,37.8%,31.1%,29.1%,,,102
23,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",,"55,999","60,967","69,023",,,102
24,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,4.8%,3.4%,,,102
25,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,24.8,10.6,24.8,19.0,28.1,102
26,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,2.7%,3.8%,,,102
27,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,138.0,49.0,101.7,79.3,169.0,102
28,BK 02,Fort Greene/Brooklyn Heights,Housing Market and Conditions,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","The rate of mortgage foreclosure actions initiated per 1,000 1-4 family properties and condominium units.",12.7,6.8,9.6,3.8,2.0,2.3,102
